代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额
127030.SZ,盛虹转债,2024/11/14,105.6610,112.0000,112.0000,107.8060,108.5500,2.8890,2.73421603051267733600,238,0.978082191781,2.35068493150684931507,1.38185168125287885800,1.0903,105.85317027722,2.696829722779995,2.547708033417647,13.210,7.5700227100681302,73.7320211960635882,34.8179788039364118,47.22233059548254618300,-34.0330,1.9883,-34.8179788039364118,69.65499569164155,6.0000,2021/03/22,0.2000,深交所,可转债,AA+,49.975802
123242.SZ,赛龙转债,2024/11/14,171.4630,172.0000,177.9000,169.9990,174.9000,3.4370,2.00451409341957156900,130,0.106849315068,5.64657534246575342466,0.17152658662092624400,-6.4462,86.602264867214,88.297735132786,101.95776665676313,36.810,2.7166530834012497,96.9573485465906004,77.9426514534093996,80.38859624544690385800,48.6677,2.0918,-77.9426514534093996,111.9570587388839,6.0000,2024/07/08,0.3000,深交所,可转债,A+,2.5
123054.SZ,思特转债,2024/11/14,143.3940,143.3930,150.7690,141.5600,145.7000,2.3060,1.60815654769376682400,158,1.082191780822,1.56986301369863013699,1.71585449553877831200,-12.9584,111.82689224278,33.873107757219984,30.29066361218401,9.880,10.1214574898785425,139.9797570850202429,5.7202429149797571,4.08647866955892987400,-22.1907,3.2812,-5.7202429149797571,125.17539768620183,6.0000,2020/06/10,0.5000,深交所,可转债,AA-,1.669485
113588.SH,润达转债,2024/11/14,166.8940,167.1000,184.3230,166.2480,169.1880,2.2940,1.37452514769853919300,151,0.744657534247,1.58904109589041095890,1.06390524150648982200,-23.5697,106.86038048228,62.327619517719995,58.32621897510032,13.000,7.6923076923076923,164.8461538461538462,4.3418461538461538,2.63387774148390104500,190.8864,3.0325,-4.3418461538461538,154.26311707124165,6.0000,2020/06/17,0.3000,上交所,可转债,AA,2.34763
117206.SZ,23绿能EB,2024/11/14,100.6250,102.0000,102.0000,102.0000,102.0000,1.3750,1.36645962732919254700,202,0.553424657534,1.44931506849315068493,0.98039215686274509800,1.6511,101.60634092719,0.3936590728099958,0.387435537209324,26.200,3.8167938931297710,95.7633587786259542,6.2366412213740458,6.51255480271024312300,30.5105,5.0773,-6.2366412213740458,94.24939221780355,3.0000,2023/04/25,1.0000,深交所,可交换债券(私募),,20.5
113549.SH,白电转债,2024/11/14,128.9160,144.0000,144.1000,130.0200,130.3060,1.3900,1.07822147755127369800,366,1.800000000000,1.00273224043715846995,1.38136386659094746200,-14.3641,109.38302654573,20.922973454270007,19.12817199798608,7.730,12.9366106080206986,133.1177231565329884,-2.8117231565329884,-2.11220796890184648400,27.0787,1.5735,2.8117231565329884,121.69870167276835,6.0000,2019/11/15,0.3000,上交所,可转债,AA,7.08294
128082.SZ,华锋转债,2024/11/14,146.3980,146.6670,156.6460,146.6670,147.9500,1.5520,1.06012377218268009100,347,2.180273972603,1.05464480874316939891,1.55457924974653599200,-20.0563,106.72956435408,41.22043564591999,38.621384707586174,8.700,11.4942528735632184,145.0574712643678161,2.8925287356321839,1.99405705229793977200,352.6072,2.9551,-2.8925287356321839,135.91123709934138,6.0000,2019/12/04,0.6000,深交所,可转债,A-,1.437621
123018.SZ,溢利转债,2024/11/14,250.9970,251.0000,259.5500,250.9090,252.7610,1.7640,0.70279724458858074000,331,1.808219178082,0.09836065573770491803,3.95630655045675559100,-574.2198,109.7177514638,143.0432485362,130.37384254397097,7.990,12.5156445556946183,95.9949937421777222,156.7660062578222778,163.3064393741851400,65.8712,1.4344,-156.7660062578222778,87.49267321054248,6.0000,2018/12/20,0.4000,深交所,可转债,AA-,0.541222
127099.SZ,盛航转债,2024/11/14,144.4240,144.6220,153.9500,144.6220,145.1910,0.7670,0.53107516756217803100,345,0.282739726027,5.06010928961748633880,0.20662437754406264900,-3.6827,99.278516922386,45.912483077614,46.246141160133845,15.600,6.4102564102564103,146.9230769230769231,-1.7320769230769231,-1.17890052356020944000,22.3572,2.3167,1.7320769230769231,147.99080554148338,6.0000,2023/12/06,0.3000,深交所,可转债,AA-,6.427284
127041.SZ,弘亚转债,2024/11/14,119.6010,119.7020,122.2980,119.5010,120.1200,0.5190,0.43394286000953169300,126,0.517808219178,1.65753424657534246575,1.24875124875124875100,-1.8432,110.4715378093,9.648462190700002,8.733889635315414,17.700,5.6497175141242938,102.3728813559322034,17.7471186440677966,17.33576158940397349800,12.6601,2.7790,-17.7471186440677966,92.6690108475289,5.0000,2021/07/12,0.5000,深交所,可转债,AA-,5.99922
